ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
06A,"Kizhuyak, AK",A43,"Kodiak Island, AK"
09A,"Homer, AK",ORI,"Port Lions, AK"
09A,"Homer, AK",ORI,"Port Lions, AK"
09A,"Homer, AK",ADQ,"Kodiak, AK"
1AK,"Mertarvik, AK",KSM,"St. Mary's, AK"
1B1,"Hudson, NY",ACK,"Nantucket, MA"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1G4,"Peach Springs, AZ",BLD,"Boulder City, NV"
1OH,"Willoughby, OH",TMA,"Tifton, GA"
1OH,"Willoughby, OH",SBA,"Santa Barbara, CA"
2AK,"Deer Park, AK",SIT,"Sitka, AK"
2NC,"Asheboro, NC",ACY,"Atlantic City, NJ"
2NC,"Asheboro, NC",MXE,"Maxton, NC"
2NY,"Port Washington, NY",QNY,"New York, NY"
5NY,"Malone, NY",TEB,"Teterboro, NJ"
7AK,"Akun, AK",KQA,"Akutan, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",DUT,"Unalaska, AK"
7AK,"Akun, AK",CDB,"Cold Bay, AK"
7AK,"Akun, AK",KQA,"Akutan, AK"
A03,"Hallo Bay, AK",A43,"Kodiak Island, AK"
A03,"Hallo Bay, AK",HOM,"Homer, AK"
A03,"Hallo Bay, AK",A43,"Kodiak Island, AK"
A03,"Hallo Bay, AK",SYB,"Seal Bay, AK"
A18,"Kantishna, AK",FAI,"Fairbanks, AK"
A1K,"Deadhorse1, AK",A1K,"Deadhorse1, AK"
A1K,"Deadhorse1, AK",SCC,"Deadhorse, AK"
A1K,"Deadhorse1, AK",SCC,"Deadhorse, AK"
A20,"Alpine, AK",SCC,"Deadhorse, AK"
A26,"Ivotuk, AK",FAI,"Fairbanks, AK"
A27,"Pogo Mines, AK",FAI,"Fairbanks, AK"
A29,"Kiluda Bay, AK",A43,"Kodiak Island, AK"
A29,"Kiluda Bay, AK",A43,"Kodiak Island, AK"
A43,"Kodiak Island, AK",SYB,"Seal Bay, AK"
A43,"Kodiak Island, AK",ALZ,"Lazy Bay, AK"
A43,"Kodiak Island, AK",AOS,"Amook Bay, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",KMY,"Moser Bay, AK"
A43,"Kodiak Island, AK",KOY,"Olga Bay, AK"
A43,"Kodiak Island, AK",KPR,"Port Williams, AK"
A43,"Kodiak Island, AK",KPY,"Port Bailey, AK"
A43,"Kodiak Island, AK",KWP,"West Point, AK"
A43,"Kodiak Island, AK",KZB,"Zachar Bay, AK"
A43,"Kodiak Island, AK",UGI,"Uganik, AK"
A43,"Kodiak Island, AK",ALZ,"Lazy Bay, AK"
A43,"Kodiak Island, AK",AOS,"Amook Bay, AK"
A43,"Kodiak Island, AK",KKB,"Kitoi Bay, AK"
A43,"Kodiak Island, AK",KMY,"Moser Bay, AK"
A43,"Kodiak Island, AK",KOY,"Olga Bay, AK"
A43,"Kodiak Island, AK",KPR,"Port Williams, AK"
A43,"Kodiak Island, AK",KPY,"Port Bailey, AK"
A43,"Kodiak Island, AK",KWP,"West Point, AK"
A43,"Kodiak Island, AK",UGI,"Uganik, AK"
A43,"Kodiak Island, AK",ORI,"Port Lions, AK"
A43,"Kodiak Island, AK",SYB,"Seal Bay, AK"
A43,"Kodiak Island, AK",06A,"Kizhuyak, AK"
